11:29	Now from this moment, twenty-nine minutes after eleven, a.m., this Wednesday, 2nd October, you are in my service."  Phileas Fogg got up, took his hat in his left hand, put it on his head with an automatic motion, and went off without a word.  Passepartout heard the street door shut once; it was his new master going out.	Around the World in Eighty Days	Jules Verne
04:25	It was twenty-five minutes past four.	Sherlock Holmes	Arthur Conan Doyle
